,lightgbm,gbc,lda,knn,et,rf,mlp,qda,catboost
random_peptide_1,0.000494021316636938,0.000163770920889102,0.014673517381213086,0.0,0.0,0.01,5.33565026289074e-05,3.6190528405934335e-09,7.180253927985248e-05
random_peptide_2,0.0001727430021353152,0.001212219673972125,0.0005524324141211546,0.0,0.03,0.05,0.0013472348066011846,2.4948832501356074e-07,0.00014042871510710914
random_peptide_3,0.0003019048559103992,0.00022520919058511188,0.002896270298440435,0.0,0.03,0.0,1.934327145931317e-05,3.3571766245821227e-06,0.0008564953189834509
random_peptide_4,0.0002772500524625528,0.00028825973832639066,0.006385597363988267,0.0,0.05,0.01,2.879450797738562e-05,4.1638289467370153e-10,0.00024276588013747355
random_peptide_5,5.33297669955909e-05,0.0001212623495681021,0.00192815380853145,0.0,0.01,0.0,0.00028687074497955493,5.210120291381551e-09,9.273329647539848e-06
random_peptide_6,4.3658550085219076e-05,6.729055672272165e-05,0.0030306161509440067,0.0,0.0,0.0,6.596823346041727e-05,7.646976931622637e-09,8.67188136490839e-06
random_peptide_7,0.0005469485627031904,0.00028329894678136254,0.0065220916550645875,0.0,0.02,0.01,0.006555484314967521,1.3361846089025488e-09,6.435378951605797e-05
random_peptide_8,0.001110076206846302,0.00032561121937103003,0.00931065084513188,0.14052137113505958,0.03,0.02,0.019297633147842594,1.4680810114420669e-05,0.00044052331586507505
random_peptide_9,0.0001505096930453789,0.00027225654709822574,0.012917158480895136,0.0,0.04,0.01,1.4340010447312637e-05,0.013271880749160626,0.0008156413418650261
random_peptide_10,2.0401084265740304e-05,0.0001161908514412402,0.00200092676955115,0.0,0.0,0.0,8.111493438230086e-06,8.679448824267178e-12,4.3940024483924585e-06
random_peptide_11,8.961755275371535e-05,1.5973454697146716e-05,0.00769674171591215,0.0,0.03,0.02,5.312801352507567e-05,2.1778320127421923e-08,1.4839580937581569e-05
random_peptide_12,0.0011638764770438004,0.002516105445093723,0.013373314863624109,0.14521938689640768,0.03,0.03,0.07286110773170355,3.887339909802337e-05,0.00292833456286562
random_peptide_13,0.0005578646746354146,0.00041956853566700516,0.021995162243295955,0.0,0.08,0.01,0.0003312813780704202,3.034687349212436e-10,0.0006850560377573537
random_peptide_14,0.00033213287525496715,0.0006190418480457283,0.03926918416586269,0.0,0.15,0.05,0.07445528824865849,0.01367232510378812,3.7358024305335024e-05
random_peptide_15,0.00221664697587049,0.0002486963227078289,0.010538061453984752,0.07826707163132346,0.08,0.1,0.09079106258011826,1.0075864591910635e-08,0.00028940172855435644
random_peptide_16,0.00011312100866428982,0.0003383982385905318,0.003155977175751798,0.0,0.01,0.0,7.710059185741825e-05,1.451215314907363e-08,9.794564502891585e-06
random_peptide_17,0.0067735509136657495,0.07409439324338038,0.017604530147230298,0.0,0.16,0.21,0.0071667076229739056,1.1022067524229746e-07,0.0020408731824707507
random_peptide_18,0.00040363811201945784,0.00017357699305023532,0.012756670638471966,0.0,0.02,0.0,0.0023545182426119773,1.375639129282894e-08,0.00030150020098628475
random_peptide_19,0.00018918318834369122,1.663970809083237e-05,0.0021537127964265284,0.07128077815760038,0.09,0.04,0.0001225686422536037,3.380166669655598e-05,0.001703809220243838
random_peptide_20,6.639102845835484e-05,0.00021920153361942868,0.008843270409348897,0.0,0.01,0.0,4.456739046908438e-05,2.181528725481136e-06,2.0055329328759576e-05
random_peptide_21,0.008636206999355082,0.00015000823895261071,0.08752242173261997,0.0,0.14,0.12,0.003335851289470659,3.380680163965549e-06,0.011545005012727823
